strain	lineage_PANGOLIN	missing	coverage	gisaid	date	country	region	gender	age	lineage_GISAID	EPI
00713AAAWL	DJ.1.1	275	0.990770156840451	328	2022-11-18	Peru	Junin	Female	18	DJ.1.1	00713AAAWL
00714AAGZH	DJ.1.1	70	0.99765909774939	328	2022-11-17	Peru	Junin	Male	50	DJ.1.1	00714AAGZH
00714AAGZW	DJ.1.1	248	0.991673076279972	328	2022-11-18	Peru	Junin	Male	65	DJ.1.1	00714AAGZW
00718AAAKH	DJ.1.1	160	0.994649366284319	328	2022-11-21	Peru	Junin	Male	88	DJ.1.1	00718AAAKH
01653AALLL	DJ.1.2	53	0.998227602581681	74	2022-11-17	Peru	Ancash	Male	38	DJ.1	01653AALLL
01653AALLZ	DJ.1.2	239	0.992007490887202	74	2022-11-17	Peru	Ancash	Female	21	DJ.1	01653AALLZ
01653AALMY	DJ.1.2	195	0.993445473698291	74	2022-11-18	Peru	Ancash	Female	62	DJ.1	01653AALMY
01653AALNP	DJ.1.2	243	0.99187372504431	74	2022-11-18	Peru	Ancash	Female	19	DJ.1	01653AALNP
01653AALRO	DJ.1.2	282	0.990569508076113	74	2022-11-21	Peru	Ancash	Female	29	DJ.1	01653AALRO
01653AALRS	DJ.1.1	389	0.986991271778751	74	2022-11-21	Peru	Ancash	Female	39	DJ.1.1	01653AALRS
01653AALTM	DJ.1.2	54	0.998160719660235	74	2022-11-22	Peru	Ancash	Female	16	DJ.1	01653AALTM
01653AALTO	DJ.1.2	240	0.991974049426479	74	2022-11-22	Peru	Ancash	Female	14	DJ.1	01653AALTO
01654AABYE	DJ.1.2	99	0.9966558539277	74	2022-11-19	Peru	Ancash	Female	55	DJ.1	01654AABYE
01703AAITY	DJ.1.2	53	0.998227602581681	74	2022-11-22	Peru	Ancash	Female	57	DJ.1	01703AAITY
01704ABEHR	DJ.1.2	210	0.992943851787446	75	2022-11-25	Peru	Ancash	Female	58	DJ.1	01704ABEHR
01879AABXD	DJ.1.1	56	0.998093836738789	74	2022-11-16	Peru	Tumbes	Male	15	DJ.1.1	01879AABXD
01884AAYOV	DJ.1.1	28	0.999030197639033	74	2022-11-10	Peru	Tumbes	Male	43	DJ.1.1	01884AAYOV
02316AAGBJ	DJ.1.1	34	0.998862990335418	228	2022-11-16	Peru	Cusco	Female	38	DJ.1.1	02316AAGBJ
02698AASJV	DJ.1.3	216	0.992743203023108	74	2022-11-26	Peru	Madre de Dios	Male	24	DJ.1	02698AASJV
02698AASJX	DJ.1.3	243	0.991840283583587	74	2022-11-25	Peru	Madre de Dios	Female	20	DJ.1	02698AASJX
02698AASKA	DJ.1.3	240	0.991940607965756	74	2022-11-23	Peru	Madre de Dios	Female	28	DJ.1	02698AASKA
02883AAKDQ	DJ.1.1	222	0.99254255425877	74	2022-11-21	Peru	Tacna	Female	47	DJ.1.1	02883AAKDQ
02883AAKED	DJ.1.2	498	0.983346152559944	74	2022-11-23	Peru	Tacna	Female	27	DJ.1	02883AAKED
02883AAKEJ	DJ.1.1	218	0.992676320101662	74	2022-11-24	Peru	Tacna	Female	40	DJ.1.1	02883AAKEJ
02883AAKEK	DJ.1.1	241	0.991907166505033	74	2022-11-25	Peru	Tacna	Female	45	DJ.1.1	02883AAKEK
02913AAACL	DJ.1.1	248	0.991673076279972	74	2022-11-23	Peru	Tacna	Male	73	DJ.1.1	02913AAACL
02919AAFMY	DJ.1.1	238	0.992007490887202	74	2022-11-21	Peru	Tacna	Female	48	DJ.1.1	02919AAFMY
